"Classe","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"1. Natural","14330268.774043087","14330217.640556913","14103595.540899098","14063647.989735767","14046311.126399547","14006454.267748706","13993757.341699122","13943909.643914891","13858885.453200076","13810971.34436617","13763252.897835858","13705801.881332966","13655801.544538654","13612948.675402816","13566540.745676868","13581073.516559511","13559122.985940399","13580039.135726422","13543690.213794354","13508767.572815666","13502224.363997255","13454924.68029195","13446643.20693136","13432815.368360253","13401218.415844148","13355918.329324411","13318978.477858134","13280941.228125378","13255146.501892254","13214506.67385154","13189037.110786874","13166483.639718914","13127807.39916027","13096666.172216717","13053420.761941243","12970140.836478345","12870053.309458718","12828261.497960843"
"1.1. Formação Florestal","2915713.1605856107","2909531.303836657","2886816.0582709354","2879025.0411303486","2879345.748374612","2848623.3800181462","2828280.8341950458","2806513.606205738","2785176.106615927","2768388.6994857215","2749498.47264149","2723729.5961993197","2699259.42585635","2676886.2330590426","2659728.4252312556","2645733.2312842696","2627955.7931424635","2612849.9862200944","2592173.712550861","2571678.1917993817","2553004.472589956","2539396.156271129","2526004.8234694623","2516170.3195152013","2504939.5539082093","2497986.4997963775","2489558.8006194565","2484816.538367365","2478927.5852017645","2469380.3452367196","2461104.052602828","2454382.095661325","2445571.1018301304","2436602.9126555054","2420056.535651925","2399140.767923477","2362586.0905994023","2351158.583009687"
"1.2. Formação Savânica","2491539.1863177055","2497821.317610247","2364449.0355415223","2056372.4000626244","2039911.2276534496","1969070.9733958137","2071217.2953471611","1991849.3545419043","2054885.746194862","2138165.510183396","2074740.7145266396","2155904.2930400698","2090495.1652016195","2060682.1651172813","2100562.026603357","2060296.9656679959","2004219.5158117954","1961890.2870108213","1938992.692087578","1951618.48759289","2004492.5636660587","2036250.4749804658","2061080.9259163074","2070139.6778612626","2060119.0687736871","2085712.4504307478","2118582.710798078","2141097.261231375","2183072.007937401","2210464.8994524246","2222454.5730976444","2268827.114704773","2274045.5966953565","2314459.8656888218","2318047.6390865305","2334677.782763269","2367876.740867908","2379829.11868337"
"1.3. Mangue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.4. Floresta Alagável","","","0.08596448974609375","0.08596448974609375","0.08596448974609375","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.17216033935546876"
"1.5. Restinga Arbórea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.6. Campo Alagado e Área Pantanosa","3665418.722934731","2390917.038151868","3561676.164161951","3608863.0287364474","4168465.063246688","2530876.1025918857","3363192.7630741927","2097809.221526241","2753115.2818246586","1782901.0367390248","3077814.0240514097","2969390.8043267974","3613262.541358292","1672463.6418931081","2469763.3263599295","3496569.610322347","1757714.2361556625","2942638.691450324","3005261.144981688","2206943.5134561444","1962423.21469643","3588043.814783845","3431599.4049466057","3676103.8564250986","1778066.1624926536","2513446.2128893784","4271663.011054982","1172003.6950742106","2161976.019684036","3179398.7386149312","2272106.8225361514","2727424.5312882503","2446963.9616154986","3895145.333184748","2080760.209717965","714899.8966179858","745712.2962631064","1244643.0571167856"
"1.7. Formação Campestre","1790199.4175698245","4606460.732475858","3278377.372899554","1997361.750066117","1944684.3047079812","4929881.74946564","3375557.570065734","4876094.347298606","4144596.222792098","5738559.260897995","3918034.5431317054","4281708.077059438","3369177.132616562","5782848.664447846","4796280.520651893","4069946.86598989","6090195.418617876","4693405.87352674","4792770.096031789","5511225.94218066","5924604.765872918","3767221.473661515","3910219.753716238","3747407.4874465894","6075921.683809778","5285661.202186332","2928646.014839351","6538572.678004683","5472854.082305173","3736029.3016520706","5056469.433966868","4575461.17594008","4848912.481678471","2828881.5606527682","5154769.997918934","6720342.032316322","6663043.86830562","6171983.716072158"
"1.8. Apicum","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.9. Afloramento Rochoso","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.10. Restinga Herbácea","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.11. Outras Formações não Florestais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.12. Praia, Duna e Areal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1.13. Rio, Lago e Oceano","3467398.2866352163","1925487.248482283","2012276.824060644","3522025.6837757397","3013904.6964523275","1728002.0622772211","2355508.879016986","2171643.1143424003","2121112.095772532","1382956.8370600336","1943165.1434846125","1575069.110707341","1883607.279505831","1420067.970885538","1540206.4468304326","1308526.8432950089","1079038.0222126003","1369254.297518444","1214492.5681424395","1267301.4377865903","1057699.3471718905","1524012.7605949966","1517738.2988827466","1422994.0271121007","982171.946859819","973111.9640215773","1510527.9405462658","944451.0554477447","958316.8067638808","1619233.3888953938","1176902.2285833827","1140388.7221244846","1112314.2573408133","1621576.5000348748","1079786.3795658888","801080.3568572914","730834.3134226826","680646.8509185055"
